Question,Answer,Intent
How do I reset my password?,Click "Forgot Password" on the login page.,Password
What are office timings?,Office timings are 9 AM to 6 PM.,Office
How do I apply for leave?,Apply through the HR portal.,Leave
Where is the HR department?,The HR department is on the 2nd floor.,HR
How do I connect to WiFi?,Use the company WiFi and enter your employee credentials.,WiFi
Who should I contact for laptop issues?,Contact the IT Helpdesk.,IT
How can I change my email password?,Use the Outlook password reset page.,Password
What is the company holiday list?,Check the HR portal for holidays.,Holiday
How do I request an ID card?,Contact the HR department., IDCard
where is HR department ,on 2nd floor south wing ,HR
Can't access my account?,contact to IT desk ,IT
